| Token | Head | Distance |
|---|---|---|
| Sedan | försökte | 1 |
| försökte | jag | 1 |
| jag | sammanställa | 1 |
| sammanställa | det | 1 |
| det | till | 1 |
| till | en | 1 |
| en | text | 1 |
| relativt | kort | 1 |
| kort | text | 0 |
| Innehållsförteckning |  | 0 |
| 1 | Inledning | 1 |
| Inledning |  | 0 |
| 1.1 | Frågeställningar | 1 |
| Frågeställningar |  | 0 |
| 2 | Vad | 1 |
| Vad | är | 1 |
| är | en | 1 |
| en | dator | 1 |
| dator | ? | 0 |
| 2.1 | Flygresor | 1 |
| Flygresor |  | 0 |
| 3 | Persondatorn | 1 |
| Persondatorn |  | 0 |
| 3.1 | Hur | 1 |
| Hur | vi | 1 |
| vi | kommunicerar | 1 |
| kommunicerar | med | 1 |
| med | vår | 1 |
| vår | persondator | 1 |
| persondator |  | 0 |
| 3.2 | Datorns | 1 |
| Datorns | arbetssätt | 1 |
| arbetssätt |  | 0 |
| 3.3 | Minne | 1 |
| Minne |  | 0 |
| 3.4 | Hårddisk | 1 |
| Hårddisk |  | 0 |
| 3.5 | Hårdvaror | 1 |
| Hårdvaror | och | 1 |
| och | mjukvaror | 1 |
| mjukvaror |  | 0 |
| 3.6 | Processor | 1 |
| Processor | , | 1 |
| , | grafikkort | 1 |
| grafikkort | och | 1 |
| och | bildskärm | 1 |
| bildskärm |  | 0 |
| 3.7 | Moderkort | 1 |
| Moderkort |  | 0 |
| 3.8 | Utbyggnadskort | 1 |
| Utbyggnadskort |  | 0 |
| 3.9 | Ljudkort | 1 |
| Ljudkort |  | 0 |
| 3.10 | Ström | 1 |
| Ström |  | 0 |
| 4 | Historik | 1 |
| Historik |  | 0 |
| 5 | Resultat | 1 |
| Resultat |  | 0 |

Average dependency distance: 503/119 = 4.23
