| Token | Head | Dependency Distance |
|---|---|---|
| Det | finns | 1 |
| finns | många | 1 |
| många | sorters | 1 |
| sorters | trålar | 1 |
| trålar | för | 1 |
| för | olika | 1 |
| olika | sorters | 1 |
| sorters | fiske | 1 |
| fiske | t. ex | 1 |
| t. ex | flyttrål | 1 |
| flyttrål | för | 1 |
| för | sillfiske | 1 |
| och | bottentrålen | 1 |
| bottentrålen | för | 1 |
| för | räkfiske | 1 |
| och | torskfiske | 1 |
| Det | som | 1 |
| som | kallas | 1 |
| kallas | för | 1 |
| för | ringnoten | 1 |
| och | snörpvaden | 1 |
| snörpvaden | är | 1 |
| är | som | 1 |
| som | stora | 1 |
| stora | nät | 1 |
| nät | som | 1 |
| som | läggs | 1 |
| läggs | ut | 1 |
| ut | runt | 1 |
| runt | hela | 1 |
| hela | fiskstim | 1 |
| Kusterna | Ungefär | 1 |
| Ungefär | hälften | 1 |
| hälften | av | 1 |
| av | landets | 1 |
| landets | yrkesfiskare | 1 |
| yrkesfiskare | arbetar | 1 |
| arbetar | på | 1 |
| på | västkusten | 1 |

Average dependency distance = 1.00
