| Token | Head | Dependency Distance |
|---|---|---|
| Anmälan | ledde | 1 |
| ledde | till | 1 |
| till | en | 1 |
| en | lagändring | 1 |
| lagändring | som | 1 |
| som | trädde | 1 |
| trädde | i | 1 |
| i | kraft | 1 |
| kraft | 1 | 1 |
| 1 | januari | 1 |
| januari | 2011 | 1 |
| Den | trädde | 1 |
| 1 | januari | 1 |
| januari | 2011 | 1 |
|trädde | Lagen | 1 |
| Lagen | om | 1 |
| om | allmännyttiga | 1 |
| allmännyttiga | kommunala | 1 |
| kommunala | bostadsaktiebolag | 1 |
| bostadsaktiebolag | i | 1 |
| i | kraft | 1 |
| kraft | och | 1 |
| och | ersatte | 1 |
| ersatte | då | 1 |
| då | Lagen | 1 |
| Lagen | om | 1 |
| om | allmännyttiga | 1 |
| allmännyttiga | bostadsföretag | 1 |
| Enligt | den | 1 |
| den | nya | 1 |
| nya | lagen | 1 |
| lagen | ska | 1 |
| ska | de | 1 |
| de | allmännyttiga | 1 |
| allmännyttiga | bostadsföretagen | 1 |
| bostadsföretagen | agera | 1 |
| agera | affärsmässigt | 1 |
| Detta | undersöker | 1 |
| undersöker | vad | 1 |
| vad | affärsmässighet | 1 |
| affärsmässighet | är | 1 |
| är | om | 1 |
| om | det | 1 |
| det | är | 1 |
| är | möjligt | 1 |
| möjligt | att | 1 |
| att | få | 1 |
| få | en | 1 |
| en | blick | 1 |
| blick | över | 1 |
| över | hur | 1 |
| hur | de | 1 |
| de | allmännyttiga | 1 |
| allmännyttiga | bostadsbolagen | 1 |
| bostadsbolagen | ska | 1 |
| ska | agera | 1 |
| agera | för | 1 |
| för | att | 1 |
| att | vara | 1 |
| vara | affärsmässiga | 1 |

Average dependency distance: 1.43
