| Word | Head | Distance |
|---|---|---|
| Det | är | 1 |
| är | även | 1 |
| även | viktigt | 1 |
| viktigt | att | 1 |
| att | bromspedalens | 1 |
| bromspedalens | beteende | 1 |
| beteende | och | 1 |
| och | bromskänslan | 1 |
| bromskänslan | dvs. | 1 |
| dvs. | förarens | 1 |
| förarens | upplevelse | 1 |
| upplevelse | då | 1 |
| då | han/hon | 1 |
| han/hon | bromsar | 1 |
| bromsar | inte | 1 |
| inte | förändras | 1 |
| förändras | på | 1 |
| på | grund | 1 |
| grund | av | 1 |
| av | spelet | 1 |
| spelet | vid | 1 |
| vid | beläggen | 1 |
| beläggen | . | 1 |
| . | För | 1 |
| För | att | 1 |
| att | kunna | 1 |
| kunna | ställa | 1 |
| ställa | upp | 1 |
| upp | en | 1 |
| en | modell | 1 |
| modell | för | 1 |
| för | spelets | 1 |
| spelets | påverkan | 1 |
| påverkan | i | 1 |
| i | pedalen | 1 |
| pedalen | studerades | 1 |
| studerades | ett | 1 |
| ett | bromssystem | 1 |
| bromssystem | från | 1 |
| från | en | 1 |
| en | Saab | 1 |
| Saab | 9-3 | 1 |
| 9-3 | . | 1 |

Average dependency distance = 42 / 42 = 1
