| Token | Head | Dependency Distance |
|---|---|---|
| Operativsystemets | är | 3 |
| uppgift | är | 1 |
| är | - | 0 |
| för | är | 1 |
| det | är | 1 |
| till | sköta | 1 |
| största | delen | 1 |
| delen | att | 1 |
| att | sköta | 1 |
| sköta | är | 1 |
| om | sköta | 1 |
| och | övervaka | 1 |
| övervaka | är | 1 |
| de | program | 1 |
| program | används | 1 |
| används | på/av | 1 |
| på/av | datorn | 1 |
| datorn | så | 1 |
| så | att | 1 |
| att | samsas | 1 |
| samsas | om | 1 |
| om | datorns | 1 |
| datorns | resurser | 1 |
| resurser | ( | 1 |
| ( | ex | 1 |
| ex | nätverk, | 1 |
| nätverk, | hårddisk, | 1 |
| hårddisk, | terminaler, | 1 |
| terminaler, | tangentbord, | 1 |
| tangentbord, | skärmar, | 1 |
| skärmar, | processoranvändning | 1 |
| processoranvändning | och | 1 |
| och | minne | 1 |
| minne | ) | 1 |

Average dependency distance: 84/79 = 1.063
