| Token | Head | Dependency Distance |
|---|---|---|
| Snåljåpsmonstret | kommer | 3 |
| kommer | fram | 2 |
| när | kommer | 1 |
| du | kollar | 1 |
| kollar | på | 3 |
| på | den | 2 |
| den | fram | 5 |
| här | filmen | 2 |
| tråkiga | filmen | 1 |
| filmen | kommer | 4 |
| När | vill | 1 |
| du | vill | 1 |
| egentligen | vill | 2 |
| bara | vill | 1 |
| vill | gå | 1 |
| gå | hem | 2 |
| hem | vill | 3 |
| och | vill | 1 |
| slippa | vill | 3 |
| den | slippa | 2 |
| här | skiten | 2 |
| skiten | slippa | 1 |
| som | visas | 1 |
| visas | på | 3 |
| på | filmduken | 2 |
| filmduken | visas | 4 |
| så | säger | 1 |
| kommer | säger | 3 |
| snåljåpsmonstret | säger | 1 |
| och | säger | 1 |
| säger | - | 1 |
| - | säger | 2 |
| Du | har | 1 |
| har | betalat | 1 |
| betalat | för | 3 |
| för | att | 2 |
| att | se | 3 |
| se | den | 2 |
| den | har | 6 |
| här | filmen | 2 |
| filmen | se | 3 |
| och | är | 1 |
| om | är | 2 |
| du | är | 1 |
| går | är | 3 |
| ifrån | går | 2 |
| nu | går | 1 |
| så | är | 1 |
| är | det | 1 |
| det | är | 2 |
| 70 | spänn | 1 |
| spänn | som | 1 |
| som | är | 3 |
| bara | försvinner | 1 |
| försvinner | som | 4 |
| ifrån | försvinner | 3 |
| din | lön/månadspeng | 1 |
| lön/månadspeng | försvinner | 4 |
| Och | vill | 1 |
| du | vill | 1 |
| väl | vill | 2 |
| Naturligtvis | så | 1 |
| så | är | 1 |
| är | det | 1 |
| det | så | 2 |
| ingen | vill | 1 |
| som | vill | 2 |
| vill | bli | 1 |
| bli | av | 3 |
| av | med | 2 |
| med | bli | 4 |
| 70 | spänn | 1 |
| spänn | bli | 2 |

Average dependency distance = 98/85 = 1.15
