| Word | Head | Distance |
|---|---|---|
| En | analys | 1 |
| analys | av | 1 |
| av | de | 1 |
| de | krafter | 1 |
| krafter | som | 1 |
| som | uppkommer | 1 |
| uppkommer | vid | 1 |
| vid | kurvtagning | 1 |
| har | gjorts | 1 |
| gjorts | och | 1 |
| och | dessa | 1 |
| dessa | har | 1 |
| har | med | 1 |
| med | teorins | 1 |
| teorins | hjälp | 1 |
| hjälp | lett | 1 |
| lett | till | 1 |
| till | en | 1 |
| en | uppskattning | 1 |
| uppskattning | av | 1 |
| av | det | 1 |
| det | ökade | 1 |
| ökade | däckslitage | 1 |
| däckslitage | och | 1 |
| och | ökad | 1 |
| ökad | bränsleförbrukning | 1 |
| bränsleförbrukning | som | 1 |
| som | beror | 1 |
| beror | på | 1 |
| på | den | 1 |
| den | vinkel | 1 |
| vinkel | hjulen | 1 |
| hjulen | angriper | 1 |
| angriper | kurvradien | 1 |
| Hjulen | står | 1 |
| står | i | 1 |
| i | en | 1 |
| en | vinkel | 1 |
| vinkel | mot | 1 |
| mot | kurvans | 1 |
| kurvans | förlängning | 1 |
| eftersom | de | 1 |
| de | inte | 1 |
| inte | kan | 1 |
| kan | styras | 1 |
| och | de | 1 |
| de | vrids | 1 |
| vrids | runt | 1 |
| runt | en | 1 |
| en | punkt | 1 |
| punkt | i | 1 |
| i | boggicentrums | 1 |
| boggicentrums | förlängning | 1 |

Average dependency distance: 183/169=1.08
