| Token | Head | Distance |
|---|---|---|
| Rasim | skapas | 1 |
| skapas | för | 1 |
| för | att | 1 |
| människor | skapas | 2 |
| med | människor | 1 |
| olika | bakgrund | 1 |
| bakgrund | människor | 2 |
| religion | människor | 2 |
| moral | människor | 2 |
| skiljer | människor | 2 |
| sig | skiljer | 1 |
| mycket | skiljer | 1 |
| från | skiljer | 1 |
| varandra | skiljer | 1 |
| När | skapas | 2 |
| de | leva | 1 |
| ska | leva | 1 |
| leva | skapas | 2 |
| tillsammans | leva | 1 |
| i | leva | 1 |
| ett | samhälle | 1 |
| samhälle | leva | 2 |
| skapas | problem | 1 |
| det | skapas | 1 |
| därför | skapas | 2 |
| eftersom | skapas | 2 |
| de | uppfattar | 1 |
| uppfattar | skapas | 2 |
| verkligheten | uppfattar | 1 |
| olika | uppfattar | 1 |
| T.ex. | Ahmed | 1 |
| Ahmed | är | 1 |
| är | tycker | 1 |
| muslim | Ahmed | 1 |
| tycker | tycker | 1 |
| att | tycker | 1 |
| kvinnorna | skamliga | 1 |
| i | kvinnorna | 1 |
| Sverige | kvinnorna | 1 |
| är | skamliga | 1 |
| skamliga | tycker | 2 |
| när | går | 1 |
| de | går | 1 |
| om | går | 1 |
| somrarna | går | 1 |
| går | tycker | 2 |
| omkring | går | 1 |
| halvnakna | går | 1 |
| I | kommer | 1 |
| Iran | kommer | 1 |
| där | kommer | 1 |
| han | kommer | 2 |
| kommer | tycker | 3 |
| ifrån | kommer | 1 |
| går | kommer | 2 |
| knappt | går | 1 |
| prostituerade | går | 1 |
| så | går | 1 |
| lättklädda | går | 1 |

Average dependency distance = 90/64 = 1.406
