| Token | Head | Dependency Distance |
|---|---|---|
| Trots | att | 2 |
| att | vi | 3 |
| vi | tillhör | 4 |
| på | sätt | 5 |
| sätt | och | 6 |
| och | vis | 7 |
| tillhör | vissa | 8 |
| vissa | gemensamma | 9 |
| gemensamma | grupp | 10 |
| grupp | – | 11 |
| – | människa | 12 |
| Förr | i | 13 |
| i | tiden | 14 |
| tiden | slogs | 15 |
| slogs | männen | 16 |
| männen | med | 17 |
| med | andra | 18 |
| andra | flockar | 19 |
| flockar | om | 20 |
| om | revir | 21 |
| och | så | 22 |
| så | är | 23 |
| är | det | 24 |
| det | fortfarande | 25 |
| Vi | har | 26 |
| har | dock | 27 |
| dock | blivit | 28 |
| blivit | mer | 29 |
| mer | civiliserad | 30 |
| och | slåss | 31 |
| slåss | inte | 32 |
| inte | lika | 33 |
| lika | mycket | 34 |
| men | ändå | 35 |
| ändå | för | 36 |
| för | mycket | 37 |
| Detta | händer | 38 |
| händer | i | 39 |
| i | nutid | 40 |
| nutid | ofta | 41 |
| när | det | 42 |
| det | har | 43 |
| har | att | 44 |
| att | handla | 45 |
| handla | om | 46 |
| om | invandrare | 47 |
| . | | 0 |

Average dependency distance:  311/47 = 6.617
