| Token | Head | Dependency Distance |
|---|---|---|
| Bland | hittar | 2 |
| dessa | hittar | 2 |
| hittar | vi | 1 |
| vi | passar | 3 |
| t.ex. | SCOM | 2 |
| SCOM | hittar | 3 |
| BigBrother | hittar | 3 |
| Nagios | hittar | 3 |
| Mon | hittar | 3 |
| Vi | passar | 2 |
| har | begränsat | 1 |
| inte | begränsat | 2 |
| begränsat | oss | 1 |
| oss | till | 1 |
| till | ett | 1 |
| ett | operativsystem | 1 |
| specifikt | operativsystem | 2 |
| utan | tar | 1 |
| vi | tar | 2 |
| tar | upp | 1 |
| upp | övervakningssystem | 1 |
| övervakningssystem | passar | 2 |
| som | passar | 1 |
| passar | till | 1 |
| till | Windows | 1 |
| och/eller | Linux/Unix | 2 |
| Linux/Unix | passar | 3 |
| Utifrån | hittat | 2 |
| den | hittat | 2 |
| information | hittat | 2 |
| vi | hittat | 2 |
| hittat | om | 1 |
| om | varje | 1 |
| varje | system | 1 |
| övervakningssystem | uppfylla | 2 |
| och | uppfylla | 1 |
| de | uppfylla | 2 |
| kriterier | uppfylla | 2 |
| som | uppfylla | 1 |
| uppfylla | vill | 1 |
| vill | att | 1 |
| att | uppfylla | 2 |
| systemen | uppfylla | 2 |
| ska | uppfylla | 1 |
| uppfylla | valt | 1 |
| vi | valt | 2 |
| valt | ut | 1 |
| ut | tre | 1 |
| tre | system | 1 |
| system | övervakningssystem | 1 |
| övervakningssystem | passar | 2 |
| som | bäst | 1 |
| bäst | passar | 2 |

Average dependency distance: 279/104 = 2.68
