| Token | Head | Dependency Distance |
|---|---|---|
| Våra | Utgångspunkter | 3 |
| utgångspunkter |  | 0 |
| Utgångspunkten | för | 1 |
| för | arbetat | 2 |
| arbetat | har | 1 |
| har | varit | 1 |
| varit | att | 1 |
| att | svara | 2 |
| svara | upp | 1 |
| upp | mot | 1 |
| mot | önskemål | 2 |
| önskemål | och | 1 |
| och | behov | 1 |
| behov | som | 1 |
| som | finns | 1 |
| finns | inte | 1 |
| inte | bara | 1 |
| bara | för | 1 |
| för | platsen | 2 |
| platsen | , | 1 |
| , | utan | 1 |
| utan | för | 1 |
| för | Stockholm | 2 |
| Stockholm | som | 1 |
| som | stad | 1 |
| stad | i | 1 |
| i | Sverige | 2 |
| Sverige | och | 1 |
| och | världen | 1 |
| världen | . | 1 |

Average dependency distance = (3+0+1+2+1+1+1+2+1+1+2+1+1+1+1+1+1+2+1+1+2+1+1+1+2+1+1+2+1+1+1+1+1+1+1) / 35 = **1.77**
