| Word | Head | Distance |
|---|---|---|
| Personerna | strävar | 2 |
| i | Personerna | 1 |
| WUFC | Personerna | 1 |
| strävar | nog | 1 |
| nog | efter | 1 |
| efter | rättvisa | 1 |
| Graffitimålarna | kan | 2 |
| kan | ju | 1 |
| ju | köpa | 1 |
| köpa | någon | 1 |
| någon | reklamplats | 1 |
| och | sätta | 1 |
| sätta | upp | 1 |
| upp | stora | 1 |
| stora | affischer | 1 |
| med | affischer | 1 |
| deras | tag | 1 |
| tag | och | 1 |
| och | crew | 1 |
| crew | så | 1 |
| så | istället | 1 |
| istället | tar | 1 |
| tar | de | 1 |
| de | sin | 1 |
| sin | plats | 1 |
| Tillexempel | att | 1 |
| att | måla | 1 |
| måla | på | 1 |
| på | tunnelbanan | 1 |
| När | de | 2 |
| de | målar | 1 |
| målar | på | 1 |
| på | tunnelbanan | 1 |
| tunnelbanan | rullar | 2 |
| rullar | ju | 1 |
| ju | deras | 1 |
| deras | namn | 1 |
| namn | igenom | 1 |
| igenom | Stockholm | 1 |
| Stockholm | så | 1 |
| så | alla | 1 |
| alla | kan | 1 |
| kan | se | 1 |
| se | det | 1 |
| Sammasak | är | 2 |
| är | det | 1 |
| det | ju | 1 |
| ju | med | 1 |
| med | reklam | 1 |
| Den | ända | 1 |
| ända | skillnaden | 1 |
| är | ju | 1 |
| ju | som | 1 |
| som | jag | 1 |
| jag | skrev | 1 |
| skrev | tidigare | 1 |
| tidigare | att | 1 |
| att | företagen | 1 |
| företagen | betalar | 1 |
| betalar | för | 1 |
| för | att | 1 |
| att | alla | 1 |
| alla | ska | 1 |
| ska | se | 1 |
| se | deras | 1 |
| deras | företagsnamn | 1 |

Average dependency distance: 201/100 = 2.01
