| Word | Head | Dependency Distance |
|---|---|---|
| Den | gick | 1 |
| gick | ut | 2 |
| ut | på | 3 |
| på | att | 4 |
| att | Sovjet | 5 |
| och | Tyskland | 6 |
| inte | skulle | 7 |
| skulle | angripa | 8 |
| varandra | skulle | 9 |
| Enligt | det | 10 |
| det | tilläggsavtalet | 11 |
| tilläggsavtalet | som | 12 |
| som | blev | 13 |
| blev | offentligt | 14 |
| offentligt | 1989 | 15 |
| 1989 | skulle | 16 |
| skulle | Sovjet | 17 |
| få | ta | 18 |
| ta | de | 19 |
| de | baltiska | 20 |
| baltiska | länderna | 21 |
| länderna | delar | 22 |
| delar | av | 23 |
| av | Polen | 24 |
| och | Finland | 25 |
| Om | en | 26 |
| en | union | 27 |
| union | hade | 28 |
| hade | skapats | 29 |
| skapats | tror | 30 |
| tror | jag | 31 |
| jag | att | 32 |
| att | Tyskland | 33 |
| inte | hade | 34 |
| hade | gått | 35 |
| gått | med | 36 |
| med | på | 37 |
| på | att | 38 |
| att | Sovjet | 39 |
| skulle | ta | 40 |
| ta | Finland | 41 |
| i | molontovribbentovpakten | 42 |
| molontovribbentovpakten | eftersom | 43 |
| eftersom | Sverige | 44 |
| Sverige | exporterade | 45 |
| exporterade | järnmalm | 46 |
| järnmalm | till | 47 |
| till | Tyskland | 48 |
| Tyskland | hade | 49 |
| hade | ju | 50 |
| ju | behövt | 51 |
| behövt | järnmalmen | 52 |
| järnmalmen | för | 53 |
| för | sin | 54 |
| sin | krigsindustri | 55 |

The average dependency distance is 29.78/56=0.5318.
