| Token | Head | Distance |
|---|---|---|
| Arbetet | är | 1 |
| är | utfört | 2 |
| utfört | under | 3 |
| under | perioden | 4 |
| perioden | mars | 5 |
| mars | till | 6 |
| till | juni | 7 |
| juni | 2015 | 8 |
| 2015 | i | 9 |
| i | samarbete | 10 |
| samarbete | med | 11 |
| med | företaget | 12 |
| företaget | Vianova | 13 |
| Vianova | Systems | 14 |
| Systems | i | 15 |
| i | Stockholm | 16 |
| Stockholm | . | 17 |
| Vi | vill | 18 |
| vill | rikta | 19 |
| rikta | särskilt | 20 |
| särskilt | tack | 21 |
| tack | till | 22 |
| till | Vianova | 23 |
| Vianova | Systems | 24 |
| Systems | , | 25 |
| , | och | 26 |
| och | i | 27 |
| i | synnerhet | 28 |
| synnerhet | vår | 29 |
| vår | handledare | 30 |
| handledare | Johan | 31 |
| Johan | Asplund | 32 |
| Asplund | som | 33 |
| som | har | 34 |
| har | ställt | 35 |
| ställt | upp | 36 |
| upp | i | 37 |
| i | tid | 38 |
| tid | och | 39 |
| och | otid | 40 |
| otid | , | 41 |
| , | och | 42 |
| och | aldrig | 43 |
| aldrig | tvekat | 44 |
| tvekat | när | 45 |
| när | det | 46 |
| det | gäller | 47 |
| gäller | att | 48 |
| att | ge | 49 |
| ge | oss | 50 |
| oss | hjälp | 51 |
| hjälp | och | 52 |
| och | vägledning | 53 |
| vägledning | . | 54 |
| Vi | vill | 55 |
| vill | också | 56 |
| också | rikta | 57 |
| rikta | stort | 58 |
| stort | tack | 59 |
| tack | till | 60 |
| till | Erik | 61 |
| Erik | Häggström | 62 |
| Häggström | , | 63 |
| , | som | 64 |
| som | har | 65 |
| har | visat | 66 |
| visat | stort | 67 |
| stort | intresse | 68 |
| intresse | och | 69 |
| och | entusiasm | 70 |
| entusiasm | för | 71 |
| för | vår | 72 |
| vår | studie | 73 |
| studie | . | 74 |

The average dependency distance is 3744 / 74 = 50.6.
