| Token | Head | Distance |
|---|---|---|
| En | är | 1 |
| metod | är | 1 |
| för | sänka | 1 |
| att | sänka | 1 |
| sänka | är | 1 |
| det | arbetar | 2 |
| varvtal | arbetar | 2 |
| som | arbetar | 2 |
| lastbilens | arbetar | 2 |
| dieselmotor | arbetar | 2 |
| arbetar | är | 1 |
| vid | arbetar | 2 |
| Vid | jobbar | 1 |
| lägre | jobbar | 2 |
| varvtal | jobbar | 2 |
| jobbar | är | 1 |
| oftast | jobbar | 2 |
| mer | jobbar | 2 |
| effektivt | jobbar | 2 |
| och | försvinner | 1 |
| en | försvinner | 2 |
| mindre | försvinner | 2 |
| del | försvinner | 2 |
| av | försvinner | 2 |
| motorarbetet | försvinner | 2 |
| försvinner | är | 1 |
| då | försvinner | 2 |
| i | försvinner | 2 |
| förluster | försvinner | 2 |
| dock | belastas | 1 |
| kan | belastas | 1 |
| inte | belastas | 2 |
| motorn | belastas | 2 |
| belastas | är | 1 |
| lika | belastas | 2 |
| hårt | belastas | 2 |
| Varvtalet | sänkas | 1 |
| kan | sänkas | 1 |
| i | sänkas | 1 |
| vissa | sänkas | 2 |
| situationer | sänkas | 2 |
| sänkas | är | 1 |
| under | sänkas | 2 |
| drift | sänkas | 2 |
| av | sänkas | 2 |
| påbyggnaden | sänkas | 2 |
| Mellan | sänkas | 1 |
| drift | väntar | 1 |
| då | väntar | 1 |
| applikationen | väntar | 2 |
| väntar | kan | 1 |
| på | väntar | 2 |
| användarens | väntar | 2 |
| kommando | väntar | 2 |
| kan | sänkas | 1 |
| varvtalet | sänkas | 1 |
| alltid | sänkas | 2 |
| sänkas | är | 1 |
| så | sänkas | 2 |
| att | sjunker | 1 |
| energiförbrukningen | sjunker | 2 |
| sjunker | kan | 1 |
| . | sjunker | 1 |

Average dependency distance: 1.55
