| Token | Head | Dependency Distance |
|---|---|---|
| Programmet | är | 1 |
| är | därför | 1 |
| därför | skrivet | 1 |
| skrivet | på | 1 |
| på | engelska. | 1 |
| . | null | 0 |
| Programmet | skapades | 1 |
| skapades | i | 1 |
| i | utvecklingsmiljön | 1 |
| utvecklingsmiljön | Microsoft | 1 |
| Microsoft | Visual | 1 |
| Visual | C# | 1 |
| C# | 2008 | 1 |
| 2008 | Express | 1 |
| Express | Edition. | 1 |
| . | null | 0 |
| Det | innehåller | 1 |
| innehåller | funktioner | 1 |
| funktioner | för | 1 |
| för | att | 1 |
| att | enkelt | 1 |
| enkelt | skapa | 1 |
| skapa | ett | 1 |
| ett | grafiskt | 1 |
| grafiskt | användargränssnitt. | 1 |
| . | null | 0 |
| Logiken | i | 1 |
| i | programmet | 1 |
| programmet | är | 1 |
| är | skrivet | 1 |
| skrivet | i | 1 |
| i | programmeringsspråket | 1 |
| programmeringsspråket | C#. | 1 |
| . | null | 0 |
| Resultatet | är | 1 |
| är | ett | 1 |
| ett | fristående | 1 |
| fristående | program | 1 |
| program | som | 1 |
| som | inte | 1 |
| inte | kräver | 1 |
| kräver | någon | 1 |
| någon | installation, | 1 |
| installation, | dock | 1 |
| dock | krävs | 1 |
| krävs | att | 1 |
| att | plattformen | 1 |
| plattformen | Microsoft | 1 |
| Microsoft | .NET | 1 |
| .NET | Framework | 1 |
| Framework | 3.5 | 1 |
| 3.5 | är | 1 |
| är | installerat | 1 |
| installerat | på | 1 |
| på | användarens | 1 |
| användarens | dator. | 1 |
| . | null | 0 |

Average dependency distance: 1.12
