| Token | Head | Distance |
|---|---|---|
| Redan | innan | 6 |
| mer | än | 1 |
| än | Redan | 2 |
| 8000 | år | 1 |
| år | innan | 2 |
| innan | Redan | 3 |
| upptäckten | bodde | 4 |
| så | bodde | 1 |
| bodde | innan | 2 |
| indianerna | bodde | 1 |
| Men | bodde | 1 |
| vid | slutet | 2 |
| slutet | så | 1 |
| av | slutet | 2 |
| 1400-talet | slutet | 1 |
| så | bodde | 1 |
| bodde | vid | 2 |
| det | bodde | 1 |
| halvnomadiska | stammar | 1 |
| stammar | så | 2 |
| De | levde | 1 |
| levde | bodde | 2 |
| på | levde | 1 |
| samlande | på | 1 |
| jordbruk | på | 1 |
| fiske | på | 1 |
| främst | jakt | 1 |
| jakt | på | 2 |
| Under | kolonialstyrelsen | 1 |
| kolonialstyrelsen | började | 2 |
| Som | sagt | 1 |
| sagt | erövrade | 2 |
| så | erövrade | 1 |
| erövrade | kolonialstyrelsen | 2 |
| Portugal | erövrade | 1 |
| Brasilien | erövrade | 1 |
| på | erövrade | 1 |
| 1500-talet | på | 1 |
| men | började | 1 |
| inte | började | 1 |
| förrän | så | 1 |
| år | förrän | 1 |
| 1530 | så | 2 |
| så | men | 2 |
| började | så | 1 |
| man | började | 1 |
| vissa | intresse | 1 |
| något | intresse | 1 |
| intresse | började | 2 |
| för | intresse | 1 |
| sin | koloni | 1 |
| koloni | för | 1 |

The average dependency distance is 1.53.
