| Word | Head | Dependency Distance |
|---|---|---|
| Man | bor | 1 |
| bor | är | 2 |
| tätare | bor | 1 |
| i | bor | 1 |
| Somalia | bor | 1 |
| skillnaden | är | 1 |
| är | har | 2 |
| 8-5 | skillnaden | 1 |
| kvadratmeters | skillnaden | 1 |
| Då | är | 1 |
| är | har | 2 |
| det | har | 1 |
| 8-5 | tätare | 1 |
| kvadratmeter | tätare | 1 |
| tätare | bor | 2 |
| i | bor | 1 |
| Somalia | bor | 1 |
| Somalia | har | 1 |
| har | är | 1 |
| jättehög | spädbarnsdödlighet | 1 |
| spädbarnsdödlighet | har | 1 |
| och | har | 1 |
| relativt | låg | 1 |
| låg | medel | 1 |
| medel | livsålder | 1 |
| livsålder | har | 1 |
| det | beror | 1 |
| beror | har | 2 |
| på | beror | 1 |
| att | beror | 2 |
| landet | har | 1 |
| har | är | 2 |
| sämre | sjukvård | 1 |
| sjukvård | har | 1 |
| än | har | 2 |
| vad | har | 2 |
| Sverige | har | 1 |
| har | är | 2 |
| landet | har | 1 |
| har | är | 2 |
| extrem | ekonomibrist | 1 |
| ekonomibrist | har | 1 |
| och | har | 1 |
| pengarna | läggs | 1 |
| läggs | har | 1 |
| inte | läggs | 1 |
| ner | läggs | 1 |
| på | läggs | 1 |
| sjukvården | läggs | 2 |
| väldigt | dåliga | 1 |
| dåliga | vattenförhållanden | 1 |
| dålig | miljö | 1 |
| miljö | är | 2 |
| klanverksamheten | är | 1 |
| och | är | 1 |
| inbördeskriget | är | 1 |
| är | bidrar | 2 |
| stora | bidragande | 1 |
| bidragande | faktorer | 1 |
| faktorer | är | 1 |
| till | bidrar | 1 |
| Somalias | medel | 1 |
| medel | livsålder | 1 |
| livsålder | bidrar | 2 |

Total dependency distance: 110
Number of tokens: 81
Average dependency distance: 110/81=1.36
