| Token | Head | Dependency Distance |
|---|---|---|
| Ett | övervakningen | 5 |
| sätt | övervakningen | 4 |
| att | förbättra | 3 |
| förbättra | övervakningen | 2 |
| övervakningen | är | 1 |
| är | genom | 1 |
| genom | öka | 2 |
| att | öka | 3 |
| öka | förståelsen | 4 |
| förståelsen | för | 5 |
| för | företagens | 6 |
| företagens | affärsmodeller | 3 |
| Syftet | ett | 4 |
| med | detta | 5 |
| detta | arbete | 6 |
| examensarbete | hitta | 7 |
| är | att | 2 |
| att | hitta | 3 |
| hitta | likheter | 4 |
| likheter | affärsmodellerna | 5 |
| i | affärsmodellerna | 6 |
| affärsmodellerna | kreditinstitut | 8 |
| svenska | kreditinstitut | 7 |
| hos | svenska | 8 |
| svenska | filialer | 9 |
| filialer | utländska | 10 |
| utländska | banker | 11 |
| Mer | specifikt | 2 |
| specifikt | syftar | 3 |
| syftar | studien | 4 |
| studien | hitta | 5 |
| att | hitta | 6 |
| hitta | grupper | 7 |
| grupper | företag | 8 |
| företagen | kluster | 9 |
| kluster | liknande | 10 |
| liknande | affärsmodell | 11 |
| till | identifiera | 2 |
| identifiera | existerande | 3 |
| existerande | affärsmodeller | 4 |
| på | bankmarknaden | 5 |
| bankmarknaden | svenska | 6 |

The average dependency distance is 54/39=1.39
