| Token | Head | Distance |
|---|---|---|
| Övrigt | Tillslut | 1 |
| Tillslut | blev | 1 |
| blev | bra | 2 |
| för | Greven | 1 |
| Greven | av | 1 |
| av | Montecristo | 1 |
| Montecristo | ( | 1 |
| ( | Edmond | 1 |
| Edmond | Dantès | 1 |
| Dantès | ) | 1 |
| ) | Hels | 1 |
| Hela | boken | 1 |
| boken | var | 1 |
| var | bra | 2 |
| Första | intrycket | 1 |
| intrycket | vet | 1 |
| vet | jag | 1 |
| jag | inte | 1 |
| inte | riktigt | 1 |
| riktigt | hur | 1 |
| hur | det | 1 |
| det | var | 2 |
| Jag | är | 1 |
| är | nöjd | 2 |
| nöjd | med | 1 |
| med | slutet | 1 |
| slutet | Det | 1 |
| Det | utspelade | 1 |
| utspelade | sig | 1 |
| sig | runt | 1 |
| runt | 1800-tal | 1 |
| 1800-tal | , | 1 |
| , | fanns | 1 |
| fanns | inte | 1 |
| inte | några | 1 |
| några | modernigheter | 1 |
| Boken | var | 1 |
| var | intressant | 2 |
| intressant | , | 1 |
| , | den | 1 |
| den | innehöll | 1 |
| innehöll | det | 1 |
| det | jag | 1 |
| jag | tycker | 1 |
| tycker | är | 1 |
| är | intressant | 2 |
| Huvudpersonen | agerar | 1 |
| agerar | som | 1 |
| som | den | 1 |
| den | gör | 1 |
| gör | för | 1 |
| för | att | 1 |
| att | denne | 1 |
| denne | vill | 1 |
| vill | ha | 1 |
| ha | hämd | 1 |
| hämd | , | 1 |
| , | för | 1 |
| för | att | 1 |
| att | den | 1 |
| den | blivit | 1 |
| blivit | kastad | 2 |
| kastad | i | 1 |
| i | fängelse | 1 |
| fängelse | på | 1 |
| på | falska | 1 |
| falska | anklagelser | 1 |

Average dependency distance: 1.37
