| Word | Head | Distance |
|---|---|---|
| Med | började | 4 |
| det | började | 3 |
| budskapet | började | 2 |
| började | började | 1 |
| han | började | 2 |
| ett | uppdrag | 1 |
| uppdrag | började | 2 |
| på | initiativ | 1 |
| eget | initiativ | 1 |
| initiativ | började | 2 |
| att | predika | 2 |
| tillsammans | predika | 1 |
| med | predika | 1 |
| sina | lärjungar | 1 |
| lärjungar | predika | 2 |
| predika | började | 3 |
| den | läran | 1 |
| rätta | läran | 1 |
| läran | predika | 2 |
| Det | gick | 1 |
| okonventionella | budskapet | 1 |
| budskapet | gick | 2 |
| gick | började | 3 |
| i | drag | 1 |
| stora | drag | 1 |
| drag | gick | 2 |
| ut | lita | 1 |
| på | lita | 1 |
| man | lita | 1 |
| ska | lita | 1 |
| lita | gick | 2 |
| sig | lita | 2 |
| själv | lita | 2 |
| och | är | 1 |
| att | är | 1 |
| Gud | är | 1 |
| egentligen | är | 1 |
| är | gick | 2 |
| överflödig | är | 2 |
| Det | är | 1 |
| är | började | 2 |
| ungefär | som | 1 |
| som | är | 1 |
| om | hade | 1 |
| du | hade | 1 |
| hade | är | 2 |
| bott | hade | 1 |
| i | bott | 1 |
| öknen | bott | 2 |
| hela | liv | 1 |
| ditt | liv | 1 |
| liv | hade | 2 |
| och | skulle | 1 |
| någon | skulle | 1 |
| skulle | är | 2 |
| beskriva | skulle | 1 |
| havet | skulle | 1 |
| När | kom | 1 |
| du | kom | 1 |
| kom | skulle | 2 |
| till | kom | 1 |
| havet | kom | 2 |
| skulle | kom | 2 |
| du | skulle | 1 |
| ha | uppfattning | 1 |
| helt | uppfattning | 1 |
| uppfattning | skulle | 2 |
| fel | uppfattning | 1 |
| om | uppfattning | 1 |
| det | uppfattning | 2 |
| men | skulle | 1 |
| du | skulle | 1 |
| skulle | kom | 2 |
| ändå | skulle | 1 |
| veta | skulle | 1 |
| att | veta | 1 |
| det | veta | 2 |
| var | veta | 1 |
| havet | veta | 2 |

Average dependency distance = 266/112 = 2.38
