| Token | Head | Distance |
|---|---|---|
| Efter | New Orleans jazzen | 2 |
| New Orleans | jazzen | 1 |
| jazzen | blev | 1 |
| så | blev | 1 |
| blev | det stora | 1 |
| det | stora | 1 |
| stora | tog | 1 |
| detta | tog | 1 |
| tog | sin start | 1 |
| sin | start | 1 |
| start | 1920. | 1 |
| 1920. | Den | 1 |
| Den | nya | 1 |
| nya | Chicago | 1 |
| Chicago | stilen | 1 |
| stilen | innehöll | 1 |
| innehöll | mer | 1 |
| mer | solon | 1 |
| solon | och | 1 |
| och | arrangerad | 1 |
| arrangerad | musik. | 1 |
| I | Chicago | 2 |
| Chicago | lyftes | 1 |
| lyftes | soloimprovisationen | 1 |
| soloimprovisationen | fram | 1 |
| fram | tillskillnad | 1 |
| tillskillnad | från | 1 |
| från | tidigare | 1 |
| tidigare | då | 1 |
| då | solot | 1 |
| solot | hade | 1 |
| hade | mindre | 1 |
| mindre | betydelse. | 1 |
| Det | största | 1 |
| största | och | 1 |
| och | ett | 1 |
| ett | av | 1 |
| av | de | 1 |
| de | allra | 1 |
| allra | kändaste | 1 |
| kändaste | namnen | 1 |
| namnen | från | 1 |
| från | den | 1 |
| den | här | 1 |
| här | tiden | 1 |
| tiden | var | 1 |
| var | Louis Armstrong. | 1 |
| Han | gick | 1 |
| gick | med | 1 |
| med | i | 1 |
| i | Joe Olivers | 1 |
| Joe Olivers | band | 1 |
| band | Creole jazz band | 1 |
| Creole jazz band | 1922. | 1 |
| 1922. | När | 1 |
| När | Louis | 1 |
| Louis | spela | 1 |
| spela | i | 1 |
| i | det | 1 |
| det | bandet | 1 |
| bandet | lärde | 1 |
| lärde | han | 1 |
| han | sig | 1 |
| sig | väldigt | 1 |
| väldigt | mycket. | 1 |

Average dependency distance: 69/61 = 1.13
