| Word | Head | Dependency Distance |
| --- | --- | --- |
| Vilket | är | 1 |
| är | moderkortets | 2 |
| moderkortets | huvudsakliga | 3 |
| huvudsakliga | uppgift | 4 |
| Moderkortet | är | 1 |
| är | en | 2 |
| en | av | 3 |
| av | datorns | 4 |
| datorns | absolut | 5 |
| absolut | viktigaste | 6 |
| viktigaste | delar | 7 |
| Moderkortet | är | 1 |
| är | en | 2 |
| en | metallplatta | 3 |
| metallplatta | som | 4 |
| som | sitter | 5 |
| sitter | i | 6 |
| i | datorn | 7 |
| datorn | och | 8 |
| och | nästan | 9 |
| nästan | alla | 10 |
| alla | datorns | 11 |
| datorns | delar | 12 |
| delar | sitter | 13 |
| sitter | anslutna | 14 |
| anslutna | till | 15 |
| till | den | 16 |
| Delarna | sätter | 1 |
| sätter | man | 2 |
| man | in | 3 |
| in | i | 4 |
| i | så | 5 |
| så | kallade | 6 |
| kallade | I/O-portar | 7 |
| I/O-portar | (In/Out-portar | 8 |
| (In/Out-portar | och | 9 |
| och | desto | 10 |
| desto | fler | 11 |
| fler | sådana | 12 |
| sådana | man | 13 |
| man | har | 14 |
| har | desto | 15 |
| desto | fler | 16 |
| fler | grafikkort | 17 |
| grafikkort | och | 18 |
| och | ljudkort | 19 |
| ljudkort | m.m. | 20 |
| m.m. | kan | 21 |
| kan | man | 22 |
| man | installera | 23 |
| Om | det | 1 |
| det | inte | 2 |
| inte | räcker | 3 |
| räcker | med | 4 |
| med | ett | 5 |
| ett | moderkort | 6 |
| moderkort | kan | 7 |
| kan | man | 8 |
| man | köpa | 9 |
| köpa | flera | 10 |
| flera | kort | 11 |
| kort | istället | 12 |
| istället | då | 13 |
| då | kallas | 14 |
| kallas | de | 15 |
| de | för | 16 |
| för | dotterkort | 17 |

Average dependency distance: 8.23
