| Word | Head | Distance |
|---|---|---|
| Samtidigt | , | 1 |
| bör | ligga | 1 |
| den | ligga | 1 |
| gärna | ligga | 1 |
| ligga | i | 1 |
| i | en | 1 |
| en | miljö | 1 |
| miljö | för | 1 |
| för | översikt | 1 |
| De | skapas | 1 |
| hörnytor | skapas | 1 |
| som | skapas | 1 |
| skapas | utanför | 1 |
| utanför | basrummen | 1 |
| basrummen | är | 1 |
| är | således | 1 |
| således | optimala | 1 |
| optimala | för | 1 |
| för | studiero | 1 |
| studiero | samt | 1 |
| samt | trygghet | 1 |
| Trygghet | skapas | 1 |
| skapas | också | 1 |
| också | genom | 1 |
| genom | gallerierna | 1 |
| gallerierna | löper | 1 |
| som | löper | 1 |
| löper | i | 1 |
| i | entréplan | 1 |
| entréplan | , | 1 |
| Dessa | har | 1 |
| har | dubbel | 1 |
| dubbel | takhöjd | 1 |
| takhöjd | och | 1 |
| och | är | 1 |
| är | öppna | 1 |
| öppna | mot | 1 |
| mot | planen | 1 |
| planen | vilket | 1 |
| vilket | skapar | 1 |
| skapar | siktlinjer | 1 |
| siktlinjer | genom | 1 |
| genom | hela | 1 |
| hela | byggnaden | 1 |
| Gallerierna | har | 1 |
| har | fått | 1 |
| fått | sitt | 1 |
| sitt | namn | 1 |
| namn | då | 1 |
| då | de | 1 |
| de | erbjuder | 1 |
| erbjuder | inblickar | 1 |
| inblickar | i | 1 |
| i | specialsalar | 1 |
| specialsalar | som | 1 |
| som | är | 1 |
| är | samlade | 1 |
| samlade | på | 1 |
| på | bottenplan | 1 |

The average dependency distance is 146/145=1.007.
