| Token | Head | Distance |
|---|---|---|
| Det | ingår | 1 |
| ingår | för | 2 |
| i | civilingenjörsexamen | 3 |
| civilingenjörsexamen | för | 4 |
| för | Väg- | 5 |
| Väg- | och | 6 |
| och | vattenbyggnadsteknik | 7 |
| vattenbyggnadsteknik | för | 8 |
| . | | |
| Examinator | och | 9 |
| och | handledare | 10 |
| handledare | på | 11 |
| på | institutionen | 12 |
| institutionen | för | 13 |
| för | Byggvetenskap | 14 |
| Byggvetenskap | är | 15 |
| är | Prof. | 16 |
| Prof. | Håkan | 17 |
| Håkan | Sundquist | 18 |
| Sundquist | och | 19 |
| och | handledare | 20 |
| handledare | på | 21 |
| på | WSP | 22 |
| WSP | Byggprojektering | 23 |
| Byggprojektering | är | 24 |
| är | Tekn. | 25 |
| Tekn. | Dr | 26 |
| Dr | Kent | 27 |
| Kent | Arvidsson | 28 |
| . | | |
| Jag | vill | 29 |
| vill | tacka | 30 |
| tacka | mina | 31 |
| mina | båda | 32 |
| båda | handledare | 33 |
| handledare | för | 34 |
| för | deras | 35 |
| deras | stöd | 36 |
| stöd | och | 37 |
| och | stora | 38 |
| stora | intresse | 39 |
| intresse | av | 40 |
| av | mitt | 41 |
| mitt | arbete | 42 |
| arbete | . | 43 |
| . | | |
| Dessutom | vill | 44 |
| vill | tacka | 45 |
| tacka | Mattias | 46 |
| Mattias | Ek | 47 |
| Ek | , | 48 |
| , | WSP | 49 |
| WSP | Byggprojektering | 50 |
| Byggprojektering | , | 51 |
| , | för | 52 |
| för | hjälpen | 53 |
| hjälpen | med | 54 |
| med | programvaran | 55 |
| programvaran | som | 56 |
| som | har | 57 |
| har | använts | 58 |
| användas | . | 59 |

Average dependency distance: 31.33 / 58 = 0.54
