| Token | Head | Dependency distance |
|---|---|---|
| Några | virusmakare | 1 |
| virusmakare | svarade | 1 |
| svarade | Jag | 1 |
| Jag | gör | 1 |
| det | gör | 1 |
| för | utmaningen | 1 |
| utmaningen | hitta | 1 |
| hitta | uttrycket | 1 |
| uttrycket | optimala | 1 |
| optimala | talang | 1 |
| talang | min | 1 |
| svarade | en | 1 |
| en | För | 1 |
| För | förbättra | 1 |
| förbättra | mina | 1 |
| mina | kunskaper | 1 |
| kunskaper | maskinspråket | 1 |
| Det | är | 1 |
| är | en | 1 |
| en | utmaning | 1 |
| utmaning | göra | 1 |
| göra | dem | 1 |
| dem | bättre | 1 |
| bättre | göra | 1 |
| göra | dem | 1 |
| dem | omöjliga | 1 |
| omöjliga | spåra | 1 |
| svarade | en | 1 |
| en | annan | 1 |
| Det | är | 1 |
| är | roligt | 1 |
| roligt | skriva | 1 |
| skriva | ett | 1 |
| ett | virus | 1 |
| virus | kan | 1 |
| kan | föröka | 1 |
| föröka | själv | 1 |
| själv | skrev | 1 |
| skrev | en | 1 |
| en | tredje | 1 |
| Eftersom | det | 1 |
| det | finns | 1 |
| finns | tusentals | 1 |
| tusentals | virus | 1 |
| virus | finns | 1 |
| anledningar | att | 1 |
| att | virus | 1 |
| virus | skrivs | 1 |

The average dependency distance is (65/50)=1.3.
