| Token | Head | Dependency Distance |
|---|---|---|
| Projektet | var | 1 |
| var | fortfarande | 2 |
| fortfarande | militärt | 3 |
| militärt | och | 4 |
| och | bekostandes | 5 |
| bekostandes | av | 6 |
| av | militära | 7 |
| militära | pengar | 8 |
| . | Det | 9 |
| Det | nät | 1 |
| nät | som | 2 |
| som | man | 3 |
| man | konstruerade | 4 |
| konstruerade | kallades | 5 |
| kallades | för | 6 |
| för | ARPAnet | 7 |
| . | Tanken | 8 |
| Tanken | var | 1 |
| var | att | 2 |
| att | olika | 3 |
| olika | militärbaser | 4 |
| militärbaser | enkelt | 5 |
| enkelt | skulle | 6 |
| skulle | kunna | 7 |
| kunna | kommunicera | 8 |
| kommunicera | med | 9 |
| med | varandra | 10 |
| . | Den | 11 |
| Den | första | 1 |
| första | expansionen | 2 |
| Utbyggnaden | av | 3 |
| av | nätet | 4 |
| nätet | blev | 1 |
| blev | enkelt | 2 |
| enkelt | och | 3 |
| och | snabbt | 4 |
| snabbt | för | 5 |
| för | att | 6 |
| att | man | 7 |
| man | inte | 8 |
| inte | behövde | 9 |
| behövde | någon | 10 |
| någon | speciell | 11 |
| speciell | datormodell | 12 |
| datormodell | för | 13 |
| för | att | 14 |
| att | ansluta | 15 |
| ansluta | sig | 16 |
| , | det | 17 |
| det | enda | 1 |
| enda | kravet | 2 |
| kravet | var | 3 |
| var | att | 4 |
| att | datorerna | 5 |
| datorerna | kunde | 6 |
| kunde | kommunicera | 7 |
| kommunicera | med | 8 |
| med | varandra | 9 |
| . | ARPAnet | 10 |
| ARPAnet | utvidgades | 1 |
| utvidgades | kraftigt | 2 |
| kraftigt | under | 3 |
| under | 70-talet | 4 |
| . |  |  |

Average dependency distance: (1+2+3+4+5+6+7+8+9+1+2+3+4+5+6+7+8+9+10+11+1+2+1+2+3+4+5+6+7+8+9+10+1+2+3+4+5+6+7+8+9+10+1+2+3+4+1+2+3+4+2+1+2+3+4+5+6+7+8+9+10) / 56 = 4.73
