| Token | Head | Distance |
|---|---|---|
| Längs | kusterna | 1 |
| kusterna | och | 1 |
| och | i | 1 |
| i | sjöar | 1 |
| sjöar | är | 1 |
| är | det | 1 |
| det | i | 1 |
| i | stort | 1 |
| stort | sätt | 1 |
| sätt | gratis | 1 |
| gratis | att | 1 |
| att | fiske | 1 |
| fiske | med | 1 |
| med | handredskap | 1 |
| handredskap | . | 1 |
| Men | i | 1 |
| i | våra | 1 |
| våra | vattendrag | 1 |
| vattendrag | måste | 1 |
| måste | man | 1 |
| man | för | 1 |
| för | det | 1 |
| det | mesta | 1 |
| mesta | köpa | 1 |
| köpa | fiskekort | 1 |
| fiskekort | , | 1 |
| Sverige | säljer | 1 |
| säljer | cirka | 1 |
| cirka | 1 | 1 |
| 1 | miljon | 1 |
| miljon | fiskekort | 1 |
| fiskekort | om | 1 |
| om | året | 1 |
| året | . | 1 |
| Norrland | är | 1 |
| är | bl.a. | 1 |
| bl.a. | en | 1 |
| en | mycket | 1 |
| mycket | besökt | 1 |
| besökt | plats | 1 |
| plats | för | 1 |
| för | bland | 1 |
| bland | annat | 1 |
| annat | fritids | 1 |
| fritids | fiskare | 1 |
| fiskare | . | 1 |
| Där | fiskar | 1 |
| fiskar | man | 1 |
| man | oftast | 1 |
| oftast | foreller | 1 |
| foreller | , | 1 |
| öring | och | 1 |
| och | lax | 1 |
| lax | i | 1 |
| i | naturens | 1 |
| naturens | egna | 1 |
| egna | vattendrag | 1 |
| vattendrag | . | 1 |
| Sportfiskaren | fiskar | 1 |
| fiskar | för | 1 |
| för | nöjes | 1 |
| nöjes | skull | 1 |
| skull | inte | 1 |
| inte | för | 1 |
| för | sitt | 1 |
| sitt | leverbröd | 1 |
| leverbröd | . | 1 |
| Fiskenationer | Nordsjön | 1 |
| Nordsjön | och | 1 |
| och | Nordatlanten | 1 |
| Nordatlanten | tillhör | 1 |
| tillhör | världens | 1 |
| världens | bästa | 1 |
| bästa | fiskevatten | 1 |
| fiskevatten | . | 1 |

The total distance is 149 and the number of tokens is 104, so the average dependency distance is 149 / 104 = 1.433.
