| Word | Head | Distance |
|---|---|---|
| Den | stod | 1 |
| stod | klar | 1 |
| klar | 1944 | 1 |
| och | fick | 1 |
| fick | namnet | 1 |
| namnet | Mark | 1 |
| Den | programmerades | 1 |
| programmerades | med | 1 |
| med | en | 1 |
| en | pappersrulle | 1 |
| pappersrulle | försedd | 1 |
| försedd | med | 1 |
| med | hål | 1 |
| Under | producerade | 1 |
| producerade | Mark | 1 |
| Mark | tabeller | 1 |
| tabeller | matematiska | 1 |
| för | ändamål | 1 |
| ändamål | militära | 1 |
| Den | var | 1 |
| var | i | 1 |
| i | drift | 1 |
| drift | femton | 1 |
| år | innan | 1 |
| innan | den | 1 |
| den | togs | 1 |
| togs | ur | 1 |
| ur | bruk | 1 |
| ENIAC | Militär | 1 |
| Militär | i | 1 |
| i | USA | 1 |
| USA | märkte | 1 |
| märkte | ganska | 1 |
| ganska | snabbt | 1 |
| snabbt | att | 1 |
| att | de | 1 |
| de | datorerna | 1 |
| datorerna | som | 1 |
| som | fanns | 1 |
| fanns | inte | 1 |
| inte | var | 1 |
| var | tillräckligt | 1 |
| tillräckligt | bra | 1 |
| Armén | ville | 1 |
| ville | kunna | 1 |
| kunna | beräkna | 1 |
| beräkna | skjut- | 1 |
| skjut- | och | 1 |
| och | bombtabeller | 1 |
| så | startades | 1 |
| startades | ett | 1 |
| ett | projekt | 1 |
| projekt | med | 1 |
| med | en | 1 |
| en | stor | 1 |
| stor | elektronisk | 1 |
| elektronisk | matematikmaskin | 1 |
| matematikmaskin | som | 1 |
| som | mål | 1 |

Average dependency distance: 127/70 = 1.81
