| Token | Head | Distance |
|---|---|---|
| Till | med | 2 |
| att | med | 1 |
| börja | med | 1 |
| med | vi | 1 |
| har | vi | 1 |
| vi | ha | 0 |
| ungefär | ha | 1 |
| 5 | miljoner | 1 |
| - | miljoner | 0 |
| 6 | miljoner | 1 |
| miljoner | ha | 2 |
| mindre | miljoner | 1 |
| judar | ha | 1 |
| i | världen | 1 |
| världen | ha | 1 |
| . | ha | 0 |
| Sen | göra | 2 |
| så | göra | 1 |
| är | göra | 1 |
| det | är | 0 |
| ju | göra | 1 |
| så | göra | 1 |
| med | göra | 1 |
| nazismen | göra | 1 |
| kommer | göra | 1 |
| ju | göra | 1 |
| nazisterna | kommer | 1 |
| vilket | göra | 1 |
| gör | göra | 0 |
| att | göra | 1 |
| judarna | göra | 1 |
| fortfarande | göra | 1 |
| är | göra | 1 |
| förtryckta | göra | 1 |
| och | göra | 1 |
| jagade | göra | 1 |
| av | göra | 1 |
| nazisterna | göra | 1 |
| . | göra | 0 |
| De | göra | 1 |
| är | göra | 1 |
| ju | göra | 1 |
| även | göra | 1 |
| i | göra | 1 |
| krig | göra | 1 |
| med | göra | 1 |
| muslimerna | göra | 1 |
| eftersom | göra | 1 |
| många | anser | 1 |
| muslimer | anser | 1 |
| anser | göra | 2 |
| att | anser | 1 |
| Israel | anser | 1 |
| är | anser | 1 |
| och | göra | 1 |
| har | göra | 1 |
| alltid | göra | 1 |
| varit | göra | 1 |
| muslimernas | land | 1 |
| land | anser | 2 |
| medans | göra | 1 |
| judarna | göra | 1 |
| säger | göra | 1 |
| att | säga | 1 |
| för | säga | 1 |
| circa | år | 1 |
| 2000 | år | 1 |
| år | säga | 2 |
| sen | säga | 1 |
| så | säga | 1 |
| hade | säga | 1 |
| judarna | hade | 1 |
| landet | hade | 1 |
| . | säga | 0 |

Average dependency distance: 248/158 = 1.57
