| Token | Head | Distance |
|---|---|---|
| Den | markeringen | 2 |
| grå | markeringen | 2 |
| markeringen | betyder | 2 |
| som | markeringen | 2 |
| betyder | finns | 3 |
| att | betyder | 3 |
| det | rör | 3 |
| rör | finns | 3 |
| sig | rör | 3 |
| om | rör | 3 |
| en | problemen | 2 |
| av | problemen | 2 |
| de | problemen | 2 |
| tre | problemen | 2 |
| vanligaste | problemen | 2 |
| problemen | finns | 2 |
| för | miljöfaktorer | 2 |
| miljöfaktorer | problemen | 2 |
| eller | besvär | 2 |
| besvär | finns | 2 |
| / | symtom | 1 |
| symtom | finns | 2 |
| finns | . | 1 |
| också | . | 1 |
| med | . | 1 |
| . | ROOT | 0 |

Average dependency distance: (2+2+2+2+3+3+3+3+3+2+2+2+2+2+2+2+2+2+2+1+2+1+1) / 22 = **2.14**
