Filename,Extracted Number,,,
diva1.txt,2.25,diva1.txt,2.35483871,0.10483871
diva10.txt,7.42,diva10.txt,2.578947368,4.841052632
diva100.txt,1.668,diva100.txt,2.529411765,0.861411765
diva101.txt,1.34,diva101.txt,1.294117647,0.045882353
diva102.txt,2.57,diva102.txt,4.172413793,1.602413793
diva103.txt,1.77,diva103.txt,2.428571429,0.658571429
diva105.txt,21.48,diva105.txt,1.85,19.63
diva107.txt,24.81,diva107.txt,1.444444444,23.36555556
diva108.txt,3.52,diva108.txt,3.1,0.42
diva109.txt,0.67,diva109.txt,2.037037037,1.367037037
diva11.txt,1.78,diva11.txt,1.684210526,0.095789474
diva110.txt,4.86,diva110.txt,3.566666667,1.293333333
diva111.txt,1.5,diva111.txt,0,1.5
diva112.txt,1.5455,diva112.txt,2.518518519,0.973018519
diva113.txt,1.38,diva113.txt,2.875,1.495
diva114.txt,1.83,diva114.txt,2.885714286,1.055714286
diva115.txt,2.08,diva115.txt,2.153846154,0.073846154
diva116.txt,1.62,diva116.txt,2.740740741,1.120740741
diva117.txt,1.55,diva117.txt,2.72,1.17
diva118.txt,1.24,diva118.txt,2.818181818,1.578181818
diva119.txt,1.275,diva119.txt,2.344827586,1.069827586
diva12.txt,1.43,diva12.txt,2.8,1.37
diva120.txt,1.036,diva120.txt,1.782608696,0.746608696
diva121.txt,7.05,diva121.txt,2.208333333,4.841666667
,,diva122.txt,2.615384615,0
diva123.txt,1.45,diva123.txt,3.5,2.05
diva124.txt,1.76,diva124.txt,1.838709677,0.078709677
diva125.txt,1.68,diva125.txt,3.423076923,1.743076923
diva126.txt,1.27,diva126.txt,2.6,1.33
diva127.txt,4.181,diva127.txt,1.95,2.231
diva128.txt,31.33,diva128.txt,2.666666667,28.66333333
diva129.txt,1.12,diva129.txt,2.909090909,1.789090909
diva13.txt,5.46,diva13.txt,2.75862069,2.70137931
diva130.txt,33.23,diva130.txt,1.53125,31.69875
diva131.txt,2.73,diva131.txt,2.833333333,0.103333333
,,diva132.txt,4.538461538,0
diva133.txt,1.96,diva133.txt,2.19047619,0.23047619
diva134.txt,1.89,diva134.txt,3.086206897,1.196206897
,,diva137.txt,0.695652174,0
diva138.txt,2.14,diva138.txt,2.5,0.36
diva139.txt,0.84,diva139.txt,2.5,1.66
diva143.txt,1.06,diva143.txt,1.736842105,0.676842105
diva144.txt,15.15,diva144.txt,2.212121212,12.93787879
diva145.txt,3.08,diva145.txt,2.961538462,0.118461538
diva146.txt,1.0185,diva146.txt,5.166666667,4.148166667
diva148.txt,1,diva148.txt,1.444444444,0.444444444
,,diva149.txt,2.032258065,0
,,diva15.txt,3.129032258,0
diva150.txt,0.51,diva150.txt,2.227272727,1.717272727
diva151.txt,1.33,diva151.txt,3.033333333,1.703333333
diva152.txt,1.39,diva152.txt,4.15625,2.76625
diva153.txt,1.37,diva153.txt,2.47826087,1.10826087
diva154.txt,1.43,diva154.txt,2.296296296,0.866296296
diva16.txt,1.77,diva16.txt,2.513513514,0.743513514
diva17.txt,3.86,diva17.txt,1.387096774,2.472903226
,,diva18.txt,2,0
,,diva19.txt,3.423076923,0
,,diva2.txt,2.703703704,0
diva20.txt,1.64,diva20.txt,1.4,0.24
,,diva21.txt,2.571428571,0
diva22.txt,13.82,diva22.txt,2.886792453,10.93320755
diva23.txt,2.13,diva23.txt,3.058823529,0.928823529
diva24.txt,1.67,diva24.txt,1.869565217,0.199565217
diva25.txt,1.46,diva25.txt,2.363636364,0.903636364
diva26.txt,1.09,diva26.txt,3,1.91
diva27.txt,21.55,diva27.txt,2.5,19.05
diva28.txt,1.04,diva28.txt,2.391304348,1.351304348
diva29.txt,27.73,diva29.txt,3.625,24.105
diva3.txt,1.84,diva3.txt,3.25,1.41
diva30.txt,1.36,diva30.txt,1.423076923,0.063076923
diva31.txt,1.53,diva31.txt,1.461538462,0.068461538
diva32.txt,1.21,diva32.txt,2.421052632,1.211052632
diva33.txt,0.0294,diva33.txt,2.65625,2.62685
diva34.txt,1.08,diva34.txt,2.416666667,1.336666667
diva35.txt,1.12,diva35.txt,2.628571429,1.508571429
diva36.txt,1.84,diva36.txt,2.68,0.84
diva37.txt,4.19,diva37.txt,2.708333333,1.481666667
diva38.txt,1.08,diva38.txt,2.228571429,1.148571429
diva39.txt,1.18,diva39.txt,2.125,0.945
diva4.txt,2.24,diva4.txt,3,0.76
diva40.txt,5.4,diva40.txt,3.181818182,2.218181818
,,diva41.txt,2.117647059,0
diva42.txt,1.17,diva42.txt,2.677419355,1.507419355
diva43.txt,18.53,diva43.txt,2.222222222,16.30777778
diva44.txt,1.41,diva44.txt,1.764705882,0.354705882
diva45.txt,2.13,diva45.txt,3.423076923,1.293076923
diva46.txt,1.31,diva46.txt,2.730769231,1.420769231
diva47.txt,1.735,diva47.txt,1.655172414,0.079827586
diva48.txt,2.18,diva48.txt,1.652173913,0.527826087
diva49.txt,1.86,diva49.txt,2.208333333,0.348333333
diva5.txt,1.11,diva5.txt,1.392857143,0.282857143
diva50.txt,1.903,diva50.txt,1.75,0.153
diva51.txt,2.33,diva51.txt,2.7,0.37
diva52.txt,2.13,diva52.txt,2.303030303,0.173030303
diva53.txt,1.16,diva53.txt,2.45,1.29
diva54.txt,2.14,diva54.txt,3.25,1.11
diva55.txt,2.39,diva55.txt,2.266666667,0.123333333
diva56.txt,1.006451613,diva56.txt,1.736842105,0.730390492
diva57.txt,1.12,diva57.txt,3.176470588,2.056470588
diva58.txt,1.06,diva58.txt,1.631578947,0.571578947
diva59.txt,2.54,diva59.txt,2.833333333,0.293333333
,,diva6.txt,1.347826087,0
diva60.txt,1.7,diva60.txt,2.642857143,0.942857143
diva61.txt,1.83,diva61.txt,2.657142857,0.827142857
diva62.txt,1.46,diva62.txt,2.166666667,0.706666667
diva63.txt,3.89,diva63.txt,3.275862069,0.614137931
,,diva64.txt,2.5,0
,,diva65.txt,2.071428571,0
diva66.txt,0.354,diva66.txt,4.913043478,4.559043478
diva67.txt,1.05,diva67.txt,2.80952381,1.75952381
diva68.txt,1.23,diva68.txt,2.387096774,1.157096774
diva69.txt,3.86,diva69.txt,2.954545455,0.905454545
diva7.txt,1.007,diva7.txt,2.944444444,1.937444444
,,diva70.txt,5.642857143,0
diva71.txt,1.78,diva71.txt,2.772727273,0.992727273
diva72.txt,1.17,diva72.txt,2.652173913,1.482173913
diva73.txt,1.583,diva73.txt,2.5,0.917
diva74.txt,0.41,diva74.txt,2.806451613,2.396451613
diva75.txt,32.5,diva75.txt,1.8,30.7
diva76.txt,1.23,diva76.txt,1.8125,0.5825
diva77.txt,6.24,diva77.txt,3.129032258,3.110967742
diva78.txt,1.43,diva78.txt,1.666666667,0.236666667
diva79.txt,12.09,diva79.txt,2.263157895,9.826842105
diva8.txt,50.6,diva8.txt,2.605263158,47.99473684
diva80.txt,3.14,diva80.txt,2.608695652,0.531304348
,,diva81.txt,3.571428571,0
diva82.txt,2.08,diva82.txt,2.823529412,0.743529412
diva83.txt,4.02,diva83.txt,3.111111111,0.908888889
diva84.txt,1.35,diva84.txt,3.258064516,1.908064516
diva85.txt,1.38,diva85.txt,3.064516129,1.684516129
diva86.txt,2.68,diva86.txt,3.484848485,0.804848485
diva87.txt,1.88,diva87.txt,1.823529412,0.056470588
diva88.txt,2.52,diva88.txt,2.230769231,0.289230769
diva89.txt,1.23,diva89.txt,2.608695652,1.378695652
diva9.txt,1.39,diva9.txt,3.490196078,2.100196078
diva90.txt,1.024,diva90.txt,3.222222222,2.198222222
diva91.txt,1.21,diva91.txt,2.444444444,1.234444444
diva92.txt,27.77,diva92.txt,3.272727273,24.49727273
diva93.txt,12.33,diva93.txt,2.966666667,9.363333333
diva94.txt,1.86,diva94.txt,1.952380952,0.092380952
diva95.txt,1.045,diva95.txt,2.28125,1.23625
diva96.txt,29.19,diva96.txt,1.526315789,27.66368421
