file,llm_add_score,local_add_score,difference
diva_short_1.txt,3.5,2.923076923076923,0.5769230769230771
diva_short_2.txt,1.94,3.2753623188405796,1.3353623188405797
diva_short_3.txt,1.0,3.3645833333333335,2.3645833333333335
diva_short_4.txt,1.0,3.436974789915966,2.436974789915966
diva_short_5.txt,1.0,3.6363636363636362,2.6363636363636362
mimers_brunn_short_1.txt,1.0,3.0609756097560976,2.0609756097560976
mimers_brunn_short_2.txt,0.6,2.5172413793103448,1.9172413793103447
mimers_brunn_short_3.txt,0.73,2.933333333333333,2.203333333333333
mimers_brunn_short_4.txt,1.0,2.9361702127659575,1.9361702127659575
mimers_brunn_short_5.txt,1.0,3.0851063829787235,2.0851063829787235
