1, Även, 2, 1
2, om, 4, 2
3, det, 4, 1
4, rör, 0, 0
5, sig, 4, 1
6, om, 4, 2
7, att, 6, 1
8, man, 11, 3
9, som, 8, 1
10, 2-åring, 9, 1
11, lär, 7, 4
12, sig, 11, 1
13, att, 11, 2
14, inte, 15, 1
15, springa, 13, 2
16, in, 15, 1
17, ett, 18, 1
18, träd, 16, 2
19, för, 15, 4
20, att, 19, 1
21, man, 22, 1
22, får, 20, 2
23, väldigt, 24, 1
24, ont, 22, 2
25, då, 22, 3
26, ., 4, 22

Totala summan av avstånd: 63
Antal ord: 26
Slutresultat: Genomsnittligt beroendeavstånd för meningen är cirka 2,42.
diva_short_1.txt

1, Indataenheter, 2, 1
2, är, 0, 0
3, som, 2, 1
4, det, 5, 1
5, låter, 3, 2
6, ,, 5, 1
7, saker, 1, 6
8, som, 7, 1
9, vi, 10, 1
10, använder, 8, 2
11, för, 10, 1
12, att, 13, 1
13, skicka, 11, 2
14, in, 13, 1
15, data, 13, 2
16, till, 15, 1
17, datorn, 16, 1
18, ,, 7, 11
19, tangentbordet, 20, 1
20, är, 2, 18
21, ett, 23, 2
22, bra, 23, 1
23, exempel, 20, 3
24, ,, 23, 1
25, scanner, 28, 3
26, och, 25, 1
27, gamepads, 26, 1
28, är, 2, 26
29, två, 31, 2
30, andra, 31, 1
31, exempel, 28, 3
32, ., 2, 30

Genomsnittligt beroendeavstånd (ADD):
Totala summan av avstånd: 131
Antal ord: 32

Slutresultat: Genomsnittligt beroendeavstånd för meningen är cirka 4,09.
diva_short_2.txt

1, Långt, 2, 1
2, senare, 3, 1
3, började, 0, 0
4, en, 5, 1
5, resturang, 3, 2
6, ,, 5, 1
7, kallad, 5, 2
8, som, 7, 1
9, Bruno, 7, 2
10, vid, 9, 1
11, berget, 10, 1
12, Vezuvio, 11, 1
13, ,, 7, 6
14, att, 15, 1
15, lägga, 3, 12
16, tomater, 15, 1
17, ,, 16, 1
18, mozarella, 16, 2
19, och, 16, 3
20, persilja, 16, 4
21, på, 15, 6
22, ,, 21, 1
23, eller, 3, 20
24, om, 26, 2
25, det, 26, 1
26, var, 23, 3
27, nån, 29, 2
28, annan, 29, 1
29, krydda, 26, 3
30, ., 3, 27

Totala summan av avstånd: 110
Antal ord: 30

Slutresultat: Genomsnittligt beroendeavstånd för meningen är cirka 3,67.
diva_short_3.txt

Tänkte i 94 sekunder

1, Journalisten, 5, 4
2, Björn, 1, 1
3, Almqvist, 2, 1
4, har, 5, 1
5, följt, 0, 0
6, några, 8, 2
7, av, 6, 1
8, graffitimålarna, 5, 3
9, som, 8, 1
10, är, 9, 1
11, med, 10, 1
12, i, 11, 1
13, WUFC, 12, 1
14, under, 10, 4
15, flera, 17, 2
16, års, 17, 1
17, tid, 14, 3
18, och, 5, 13
19, fotat, 5, 14
20, alla, 21, 1
21, tunnelbanor, 19, 2
22, som, 21, 1
23, de, 25, 2
24, har, 25, 1
25, målat, 22, 3
26, på, 25, 1
27, ,, 21, 6
28, alla, 29, 1
29, väggar, 19, 10
30, de, 32, 2
31, har, 32, 1
32, målat, 29, 3
33, på, 32, 1
34, och, 19, 15
35, på, 19, 16
36, deras, 37, 1
37, resor, 35, 2
38, runt, 37, 1
39, om, 38, 1
40, i, 39, 1
41, världen, 40, 1
42, ., 5, 37

Totala summan av avstånd: 170
Antal ord: 42
Slutresultat: Genomsnittligt beroendeavstånd för meningen är cirka 4,05.
diva_short_4.txt





1, När, 3, 2
2, jag, 3, 1
3, gick, 10, 7
4, över, 3, 1
5, statistik, 4, 1
6, om, 5, 1
7, emigration, 6, 1
8, från, 7, 1
9, Vallonien, 8, 1
10, fann, 0, 0
11, jag, 10, 1
12, att, 14, 2
13, Sverige, 14, 1
14, var, 10, 4
15, bland, 14, 1
16, de, 17, 1
17, fem, 18, 1
18, regioner, 15, 3
19, dit, 21, 2
20, vallonerna, 21, 1
21, flyttat, 18, 3
22, till, 21, 1
23, mest, 21, 2
24, ,, 21, 3
25, tillsammans, 14, 11
26, med, 25, 1
27, Flandern, 26, 1
28, ,, 27, 1
29, Brasilien, 27, 2
30, ,, 29, 1
31, Argentina, 27, 4
32, och, 31, 1
33, USA, 27, 6
34, (, 33, 1
35, Wisconsin, 33, 2
36, ,, 35, 1
37, framförallt, 35, 2
38, ), 33, 5
39, ., 10, 29
**Average dependency distance:** approximately **2.85**
diva_short_5.txt


1, Urbaniseringen, 8, 7
2, ,, 1, 1
3, som, 5, 2
4, detta, 5, 1
5, kallas, 1, 4
6, ,, 1, 5
7, har, 8, 1
8, gjort, 0, 0
9, så, 8, 1
10, att, 15, 5
11, hälften, 15, 4
12, av, 11, 1
13, dagens, 14, 1
14, befolkning, 12, 2
15, bor, 8, 7
16, i, 15, 1
17, de, 20, 3
18, femton, 20, 2
19, största, 20, 1
20, städerna, 16, 4
21, ., 8, 13
**Average dependency distance:** approximately **3.14**
mimers_brunn_short_1.txt


1, Efter, 5, 4
2, 2:a, 3, 1
3, världskriget, 1, 2
4, så, 5, 1
5, bestämde, 0, 0
6, sig, 5, 1
7, 51, 8, 1
8, länder, 5, 3
9, att, 10, 1
10, bilda, 5, 5
11, FN, 10, 1
12, ,, 11, 1
13, Förenta, 14, 1
14, nationerna, 11, 3
15, ., 5, 10
**Average dependency distance:** approximately **2.33**
mimers_brunn_short_2.txt

1, På, 2, 1
2, morgonen, 8, 6
3, och, 2, 1
4, lite, 3, 1
5, in, 4, 1
6, på, 7, 1
7, dagen, 5, 2
8, avdunstar, 0, 0
9, vattnet, 8, 1
10, ifrån, 8, 2
11, Atlanten, 10, 1
12, som, 14, 2
13, senare, 14, 1
14, regnar, 11, 3
15, ned, 14, 1
16, på, 17, 1
17, eftermiddagen, 14, 3
18, ., 8, 10
**Average dependency distance:** approximately **2.29**
mimers_brunn_short_3.txt

1, Jag, 4, 3
2, skulle, 3, 1
3, vilja, 4, 1
4, säga, 0, 0
5, att, 7, 2
6, imperialismen, 7, 1
7, började, 4, 3
8, så, 9, 1
9, långt, 10, 1
10, tillbaks, 7, 3
11, som, 10, 1
12, för2000år, 11, 1
13, sedan, 12, 1
14, ,, 4, 10
15, och, 17, 2
16, då, 17, 1
17, tänker, 4, 13
18, jag, 17, 1
19, främst, 17, 2
20, på, 17, 3
21, rommarna, 20, 1
22, som, 24, 2
23, hade, 24, 1
24, erövrat, 21, 3
25, stora, 26, 1
26, delar, 24, 2
27, Europa, 26, 1
28, och, 26, 2
29, även, 30, 1
30, delar, 26, 4
31, av, 30, 1
32, Asien, 31, 1
33, ., 4, 29
**Average dependency distance:** approximately **3.03**
mimers_brunn_short_4.txt

1, Många, 11, 10
2, av, 1, 1
3, de, 4, 1
4, invandrare, 2, 2
5, som, 4, 1
6, kommer, 5, 1
7, till, 6, 1
8, Sverige, 7, 1
9, har, 11, 2
10, inte, 9, 1
11, varit, 0, 0
12, några, 14, 2
13, outbildade, 14, 1
14, bidragstagare, 11, 3
15, i, 14, 1
16, sitt, 17, 1
17, hemland, 15, 2
18, ., 11, 7
**Average dependency distance:** approximately **2.11**
