file,llm_complexity_score,local_complexity_score,difference
mimers_brunn_short_1.txt,1.0,37.25,36.25
mimers_brunn_short_2.txt,1.0,40.09090909090909,39.09090909090909
mimers_brunn_short_3.txt,1.0,44.52972972972973,43.52972972972973
mimers_brunn_short_4.txt,1.0,43.47472527472527,42.47472527472527
mimers_brunn_short_5.txt,1.0,38.41269841269842,37.41269841269842
diva_short_2.txt,1.0,33.0,32.0
diva_short_3.txt,36.34,37.58914728682171,1.249147286821703
diva_short_1.txt,1.0,28.45614035087719,27.45614035087719
diva_short_4.txt,,39.63931623931624,N/A
diva_short_5.txt,,52.24227642276423,N/A
mimers_brunn_short_1.txt,1.0,37.25,36.25
mimers_brunn_short_2.txt,1.0,40.09090909090909,39.09090909090909
mimers_brunn_short_3.txt,1.0,44.52972972972973,43.52972972972973
mimers_brunn_short_4.txt,,43.47472527472527,N/A
mimers_brunn_short_5.txt,1.0,38.41269841269842,37.41269841269842
mimers_brunn_short_1.txt,1.0,37.25,36.25
