file,llm_add_score,local_add_score,difference
mimers_brunn_short_1.txt,1.0,3.0609756097560976,2.0609756097560976
mimers_brunn_short_2.txt,1.0,2.586206896551724,1.5862068965517242
mimers_brunn_short_3.txt,1.0,2.933333333333333,1.9333333333333331
mimers_brunn_short_4.txt,1.0,2.9468085106382977,1.9468085106382977
mimers_brunn_short_5.txt,1.0,3.0319148936170213,2.0319148936170213
diva_short_2.txt,1.0,2.971014492753623,1.971014492753623
diva_short_3.txt,1.0,3.25,2.25
diva_short_1.txt,1.0,2.9743589743589745,1.9743589743589745
diva_short_4.txt,1.0,3.2436974789915967,2.2436974789915967
diva_short_5.txt,1.0,3.5606060606060606,2.5606060606060606
